intended_ms,actual_ms,type,label
1000,1012,IMAGE_ONSET,Mu04.png
1500,1512,IMAGE_OFFSET,Mu04.png
2000,2012,IMAGE_ONSET,face01.png
2500,2512,IMAGE_OFFSET,face01.png
3000,3013,TEXT_ONSET,Hello !
3500,3514,TEXT_OFFSET,Hello !
4000,4014,IMAGE_ONSET,body03.png
4500,4533,IMAGE_OFFSET,body03.png
5000,4997,SOUND_ONSET,sound02.wav
6000,6012,IMAGE_ONSET,house03.png
6500,6514,IMAGE_OFFSET,house03.png
7000,7012,IMAGE_ONSET,face12.png
7500,7513,IMAGE_OFFSET,face12.png
8000,8015,IMAGE_ONSET,Mu01.png
8500,8531,IMAGE_OFFSET,Mu01.png
9000,9014,IMAGE_ONSET,Mu03.png
9500,9529,IMAGE_OFFSET,Mu03.png
10000,10013,IMAGE_ONSET,geo06.png
10500,10514,IMAGE_OFFSET,geo06.png
11000,11013,IMAGE_ONSET,wordC03.png
11500,11514,IMAGE_OFFSET,wordC03.png
12000,12013,IMAGE_ONSET,body04.png
12500,12513,IMAGE_OFFSET,body04.png
13000,13016,IMAGE_ONSET,wordC02.png
13500,13516,IMAGE_OFFSET,wordC02.png
14000,14013,IMAGE_ONSET,geo02.png
14500,14513,IMAGE_OFFSET,geo02.png
15000,15013,IMAGE_ONSET,geo04.png
15500,15513,IMAGE_OFFSET,geo04.png
16000,16013,IMAGE_ONSET,number01.png
16500,16514,IMAGE_OFFSET,number01.png
17000,17013,IMAGE_ONSET,number03.png
17500,17513,IMAGE_OFFSET,number03.png
18000,18014,IMAGE_ONSET,wordC05.png
18500,18514,IMAGE_OFFSET,wordC05.png
19000,19013,IMAGE_ONSET,Mu02.png
19500,19515,IMAGE_OFFSET,Mu02.png
20000,20015,IMAGE_ONSET,eq03.png
20500,20530,IMAGE_OFFSET,eq03.png
21000,21014,IMAGE_ONSET,tool10.png
21500,21530,IMAGE_OFFSET,tool10.png
22000,22015,IMAGE_ONSET,graph02.png
22500,22530,IMAGE_OFFSET,graph02.png
23000,23014,IMAGE_ONSET,house01.png
23500,23530,IMAGE_OFFSET,house01.png
24000,24014,IMAGE_ONSET,tool14.png
24500,24514,IMAGE_OFFSET,tool14.png
25000,25015,IMAGE_ONSET,tool13.png
25500,25530,IMAGE_OFFSET,tool13.png
26000,26013,IMAGE_ONSET,graph01.png
26500,26515,IMAGE_OFFSET,graph01.png
27000,27015,IMAGE_ONSET,wordEF02.png
27500,27533,IMAGE_OFFSET,wordEF02.png
28000,28013,IMAGE_ONSET,eq04.png
28500,28515,IMAGE_OFFSET,eq04.png
29000,29016,IMAGE_ONSET,stimblank.png
29500,29516,IMAGE_OFFSET,stimblank.png
30000,30015,IMAGE_ONSET,wordEF03.png
30500,30515,IMAGE_OFFSET,wordEF03.png
31000,31013,IMAGE_ONSET,Star.png
31500,31513,IMAGE_OFFSET,Star.png
32000,32015,IMAGE_ONSET,body01.png
32500,32533,IMAGE_OFFSET,body01.png
33000,33016,IMAGE_ONSET,wordEF04.png
33500,33531,IMAGE_OFFSET,wordEF04.png
34000,34016,IMAGE_ONSET,graph08.png
34500,34531,IMAGE_OFFSET,graph08.png
35000,35017,IMAGE_ONSET,face02.png
35500,35532,IMAGE_OFFSET,face02.png
36000,36014,IMAGE_ONSET,house02.png
36500,36516,IMAGE_OFFSET,house02.png
37000,37015,IMAGE_ONSET,wordC04.png
37500,37515,IMAGE_OFFSET,wordC04.png
38000,38015,IMAGE_ONSET,house04.png
38500,38516,IMAGE_OFFSET,house04.png
39000,39014,IMAGE_ONSET,geo09.png
39500,39514,IMAGE_OFFSET,geo09.png
40000,40015,IMAGE_ONSET,number02.png
40500,40516,IMAGE_OFFSET,number02.png
41000,41014,IMAGE_ONSET,eq02.png
41500,41514,IMAGE_OFFSET,eq02.png
42000,42014,IMAGE_ONSET,body02.png
42500,42514,IMAGE_OFFSET,body02.png
43000,43017,IMAGE_ONSET,wordEF05.png
43500,43531,IMAGE_OFFSET,wordEF05.png
44000,44018,IMAGE_ONSET,tool11.png
44500,44529,IMAGE_OFFSET,tool11.png
45000,45014,IMAGE_ONSET,eq01.png
45500,45515,IMAGE_OFFSET,eq01.png
46000,46014,IMAGE_ONSET,graph07.png
46500,46516,IMAGE_OFFSET,graph07.png
47000,47016,IMAGE_ONSET,face13.png
47500,47517,IMAGE_OFFSET,face13.png
48000,47999,SOUND_ONSET,sound01.wav
